Place_id,Title,Description,Category,Distance (Km.),Rating,Expense (Per Head in Rs.),n_days,Boarding_pt
TD-15,Kandal Cross,"rom Emerald Lake, 23 km from Ooty & 33 km from Coonoor, Avalanche Lake is beautiful lake situated at Avalanche village in the Nilgiris district of Tamil Nadu. It is a popular eco- tourism spot and also one of the best places to visit in Ooty.Avalanche Lake is a mesmerizing lake formed naturally in the year 1823 AD due to a massive landslide (Avalanche). Surrounded by a rolling landscape with blooming flowers and rhododendrons, the lake is a heaven for nature lovers, as small waterfalls falling down from the encircling mountains creates a picture perfect ambience. This lake is the major source of water supply for the Kundah Hydro Power stations.The journey from Ooty to Avalanche takes one to a picturesque spot centered on a lake. The Avalanche Dam creates Upper Bhavani Lake beyond Emerald Lake. This lake is mostly visited after .....
", Backwaters,5,4.36,960,1,rom Emerald Lak
TD-16,Raj Bhawan,"rom Ooty and 12.5 km from Coonoor, Ketti Valley View Point is a popular vantage point situated on Ooty - Coonoor Road in Nilgiris district of Tamilnadu. It is one the most beautiful sightseeing places in Ooty and also one of the top places to experince Ooty Tourism.As the name suggests, the view point provides a panoramic view of the Ketti Valley, the largest valley in the Nilgiris, and its beautiful surroundings. Ketti Valley is home to several tribes, such as Todas and Badagas. There are over 14 villages in this valley that belong to the tribes of Badagas. These tribal people are experts in cultivating fresh vegetables and fruits in the valley. Also known as Switzerland of Nilgiris, the Ketti Valley is a heaven for nature lovers and photographers. The view of Ketti from the viewpoint is majestic and often compared .....
", Nature,4,4.14,583,2,rom Ooty and 12
TD-17,Kalhatty Falls,"rom Ooty and 12.5 km from Coonoor, Ketti Valley View Point is a popular vantage point situated on Ooty - Coonoor Road in Nilgiris district of Tamilnadu. It is one the most beautiful sightseeing places in Ooty and also one of the top places to experince Ooty Tourism.As the name suggests, the view point provides a panoramic view of the Ketti Valley, the largest valley in the Nilgiris, and its beautiful surroundings. Ketti Valley is home to several tribes, such as Todas and Badagas. There are over 14 villages in this valley that belong to the tribes of Badagas. These tribal people are experts in cultivating fresh vegetables and fruits in the valley. Also known as Switzerland of Nilgiris, the Ketti Valley is a heaven for nature lovers and photographers. The view of Ketti from the viewpoint is majestic and often compared .....
", Nature,4,4.3,813,2,rom Ooty and 12
TD-18,Kotagiri,"from Ooty Bus Station & Railway Station, Adam's Fountain in the Charing Cross junction is built in 1886 in the memory of Governor who spent his last days in Ooty. It is situated at a distance of 3.5 km from Ooty Lake.This fountain is built with public subscription and total cost was about Rupees 14,000. It was initially installed infront of the Collector's office. Due to insufficient water suppy at it's previous position, it has been moved to the current position in 1998.
", Miscellaneous,2,3.54,619,2, Ooty Bus
TD-19,"Wellington, Near Coonoor","from Ooty Bus Station & Railway Station, Kandal Cross is a holy shrine of Roman Catholics situated at a distance of 2 km from Ooty Lake. The Catholics of the Nilgiri region call it as the 'Calvary of Tamil Nadu'.Kandal Cross is a shrine which is considered very holy and is referred to as the Jerusalem of the East. Pilgrims and devotees flock the region on every Fridays to attend the special Novena Prayers and Holy Masses organized at Kandal Cross. The Kandal Cross in Ooty has a relic of the true cross, brought to the church by a delegate of Apostles. It is considered very holy by the Roman Catholics. They believe that it showers heavenly blessings to the pilgrims and tourists who visit the shrine. Every year on 3rd of May a grand feast is organized by the authorities of the church and pilgrims from far off places come here to receive the blessings.
", Miscellaneous,3,3.89,992,1, Ooty Bus
TD-20,Coonoor,"from Ooty Bus Station & Railway Station (1 Km from Botanical Garden), Government House (Raj Bhavan) is built in 1877 by the Duke of Buckingham when he was the Governor of Madras. Built in an area of 87 acres, this cream-coloured mansion, overlooking the Botanical Gardens stands a silent reminder of the grandeur that it had seen in the days of the Raj. It was visited by the Governors of Madras during summar to escape from the hot sultry weather of Madras. A ballroom was added by Sir Arthur Havelock in 1900. The entire building was electrified in 1904.
", Heritage,4,4.48,963,2, Ooty Bus
TD-21,"Law's Falls, Near Coonoor","from Ooty, Kalhatty Falls is an attractive waterfall situated on the Ooty - Mysore Road or Sigur Ghat Road. Also known as the Kalahasti Falls, it is one of the top places to visit in Ooty and also one of the best waterfalls in Ooty.Situated on the slopes of Kalhatti Mountain, the Kalhatty Falls cascades down from a height of 120+ feet and is considered to be an ideal destination for trekking. It is situated at an average height of around 400 feet in the Sigur Plateau of Tamil Nadu. The Kalhatty-Masinagudi slope is rich in wildlife such as Panthers, Bisons, Wild Buffaloes, Wild Dogs, Spotted Deers, Sambars and different types of hill birds. The falls are accessible from main road through a private tea estate. There is a viewpoint that offers a far view of the falls. One can walk down through a narrow path for 15 minutes (one way) from viewpoint to take a closer view & reach .....
", Waterfall,14,4.05,898,2, Ooty Kalh
TD-22,"Catherine Falls, Near Coonoor","from Ooty, Kalhatty Falls is an attractive waterfall situated on the Ooty - Mysore Road or Sigur Ghat Road. Also known as the Kalahasti Falls, it is one of the top places to visit in Ooty and also one of the best waterfalls in Ooty.Situated on the slopes of Kalhatti Mountain, the Kalhatty Falls cascades down from a height of 120+ feet and is considered to be an ideal destination for trekking. It is situated at an average height of around 400 feet in the Sigur Plateau of Tamil Nadu. The Kalhatty-Masinagudi slope is rich in wildlife such as Panthers, Bisons, Wild Buffaloes, Wild Dogs, Spotted Deers, Sambars and different types of hill birds. The falls are accessible from main road through a private tea estate. There is a viewpoint that offers a far view of the falls. One can walk down through a narrow path for 15 minutes (one way) from viewpoint to take a closer view & reach .....
", Waterfall,14,4.08,579,1, Ooty Kalh
TD-23,Tea Factory & Museum,"from Ooty, 20 km from Coonoor, 72 km from Coimbatore & 544 km from Chennai, Kotagiri is a small Hill Station in Nilgiris district of Tamilnadu and is one of the top places to visit in Ooty. It is situated at an altitude of 1793 m. This the oldest and the third largest hill stations in the Nilgiris after Ooty and Coonoor. The name Kotagiri literally means mountains of the Kotas and refers to the Kota tribe who lived here in the past. It is one of the top attractions you must include in Ooty trip.Kotagiri was the first British settlement in the Nilgiris and preferred summer retreat, till a road was built from Mettupalayam to Coonoor. The region was discovered by two civil servants of the Madras government in pursuit of outlaws. They called the .....
", Hill Station,29,3.43,684,2, Ooty 20
TD-24,,"from Coonoor & 16 kms from Ooty, Wellington is a small and peaceful town in Nilgirs. It is one of the most beautiful places to visit in Coonoor.Wellington is a military town with rows of barracks. It is the headquarters of the Madras Regimental Centre and also home for the Defence Staff College.There are few accommodation options available here. Distance (From Ooty):  16 KmsTrip Duration (From Ooty - Including Travel):  2-3 Hours.....
", Hill Station,3,3.75,902,2, Coonoor &
