Place_id,Title,Description,Category,Distance (Km.),Rating,Expense (Per Head in Rs.),n_days,Boarding_pt,State,Place_sentiment,Overall_state_sentiment
TD-11,Kufri Ski Resort,"rom Shimla Railway Station and 1.2 km from Shimla Old Bus Stand, The Ridge is a large open space located in the heart of Shimla. It is among the most visited Shimla tourist places and among the prime place to visit on a Shimla tour. The Ridge is situated along the Mall Road which is the famous shopping center of Shimla. Several major places of Shimla like Lakkar Bazaar, Mall, Scandal Point, Jakhu Hill, etc. are connected through the Ridge. The movement of vehicles is strictly prohibited here. The Ridge in Shimla always remains crowded with hundreds of people. Tourists from all over the country visit this awesome place for the view of the sunset. The Ridge at Shimla also provides the tourists a view of the age old Christ Church built in the Neo-Gothic style of architecture as well as the new Tudor library. The statue of YS Parmar .....
",Heritage,1,4.65,865,1, Shimla Rail,Himachal Pradesh,0.76,0.76
TD-12,Arki Fort And Palace,"rom Shimla Railway Station and 1.2 km from Shimla Old Bus Stand, The Ridge is a large open space located in the heart of Shimla. It is among the most visited Shimla tourist places and among the prime place to visit on a Shimla tour. The Ridge is situated along the Mall Road which is the famous shopping center of Shimla. Several major places of Shimla like Lakkar Bazaar, Mall, Scandal Point, Jakhu Hill, etc. are connected through the Ridge. The movement of vehicles is strictly prohibited here. The Ridge in Shimla always remains crowded with hundreds of people. Tourists from all over the country visit this awesome place for the view of the sunset. The Ridge at Shimla also provides the tourists a view of the age old Christ Church built in the Neo-Gothic style of architecture as well as the new Tudor library. The statue of YS Parmar .....
",Heritage,1,4.66,887,1, Shimla Rail,Himachal Pradesh,0.76,0.76
TD-13,Baba Bhalku Rail Museum,"from Shimla, Kalka is a town located in Haryana State. Kalka Railway Station is the northern terminus of the Delhi-Kalka line and the starting point of the legendary Kalka-Shimla Railway. This railway was added to the UNESCO world heritage list in July, 2008. A ride in the toy train is one of the top things to do in Shimla and it is extensively used in promotion of Himachal tourism.The Kalka-Shimla Railway was built by the British in 1903 to provide access to their summer capital of Shimla. The distance of 96 km between Shimla and Kalka passes through 102 tunnels, 864 bridges and an incredible 900 curves. There are more than 20 stations in this route. It connects Kalka at an altitude of 656 m to Shimla at 2076 m. The five hour journey is one of the best train journeys operated by Indian Railway. .....
",Adventure,,3.98,1054,1, Shimla Ka,Himachal Pradesh,0.72,0.76
TD-14,Bhimakali Temple - Sarahan,"from Shimla Railway Station and 5.6 km from Fagu, Kufri is a small hill station in Shimla district, positioned at an elevation of 2,510 m on the National Highway 22. Kufri is quite famous for the popular ski resort. It is one of the best places for skiing in Shimla and also one of the top adventure site and skiing destinations in India. Kufri is also one of the best places to experience the Tourism in Himachal and another popular attraction not to miss in a Shimla tour package.Kufri derives its name from 'Kufr' which means lake. It is especially popular among trekkers and it is a popular place for adventure sports in Himachal Pradesh. The British discovered it in 1819. As Shimla gained importance, Kufri also began to be recognized as an important place to visit near Shimla.Kufri is known for its pleasant climate .....
",Adventure,5,4.23,1387,1, Shimla Rai,Himachal Pradesh,0.99,0.76
TD-15,Chadwick Falls,"from Shimla, Arki is a small town situated at 4100 ft above sea level in the Solan district. Arki Fort is one of the famous historical sites near Shimla.Arki was the former capital of the ancient hill-state of Baghal, which was founded by Raja Ajai Dev, a Panwar Rajput during 1660-65 AD. The state was founded around 1643 and Arki was declared its capital by Rana Sabha Chand in 1650. The Arki Fort was built between 1800 and 1805 by Rana Prithvi Singh, a descendent of Sabha Chand. The fort was captured by the Gurkhas in 1806. Rana Jagat Singh, the ruler of Baghal had to take refuge in Nalagarh. The Gurkha General Amar Singh Thapa made use of Arki to further the advances in Himachal Pradesh, from 1806 to 1815. Rana Jagat Singh got back the control of Arki afterwards.The fort offers both the historical legends and artistic creations to the tourists. Rana Shiv Sharan Singh laid down the foundation of the famous Diwankhana of the Arki Fort Palace in the year .....
",Heritage,4100,4.48,1385,1, Shimla Ar,Himachal Pradesh,0.38,0.76
TD-16,Chail,"rom Shimla Railway Station and 190 m from Shimla Old Bus Stand, Baba Bhalku Railway Museum was inaugurated on 7th July, 2011 as a tribute to the man who guided the construction of the rail line with his super natural powers.Bhalku worked as a labourer on the rail line and when there were problems in getting the right alignment of the track, he just guided the engineers and marched ahead of them. In fact, H.S. Harington, the agent of the Railways highly appreciated the supernatural powers of the man and the rail line took exactly the path shown by Bhalku, which made the project possible.The museum has some very interesting parts from the pages of history in the form of a 1930 lost property register. The register has details of the lost properties like bags, umbrellas, caps and coats left in the waiting rooms of the station or the train. The museum also has on display several items and parts used in the trains dating back to early 20th century. An interesting .....
",Museum,190,4.87,832,1, Shimla Rail,Himachal Pradesh,0.9,0.76
TD-17,Carigneno / Craignano - Mashobra,"rom Shimla Railway Station and 190 m from Shimla Old Bus Stand, Baba Bhalku Railway Museum was inaugurated on 7th July, 2011 as a tribute to the man who guided the construction of the rail line with his super natural powers.Bhalku worked as a labourer on the rail line and when there were problems in getting the right alignment of the track, he just guided the engineers and marched ahead of them. In fact, H.S. Harington, the agent of the Railways highly appreciated the supernatural powers of the man and the rail line took exactly the path shown by Bhalku, which made the project possible.The museum has some very interesting parts from the pages of history in the form of a 1930 lost property register. The register has details of the lost properties like bags, umbrellas, caps and coats left in the waiting rooms of the station or the train. The museum also has on display several items and parts used in the trains dating back to early 20th century. An interesting .....
",Museum,190,4.24,1417,1, Shimla Rail,Himachal Pradesh,0.9,0.76
TD-18,Chapslee Palace," from Shimla, Bhimakali Temple is located at Sarahan in Himachal Pradesh. The famous Bhimakali Temple in Sarahan is a very popular pilgrimage site in Himachal state. This temple is 800 years old and it is regarded as one of the 51 sacred Shakti peethas. This temple is dedicated to Goddess Durga known locally as Bhimakali. This is one of the top attractions you must include in Shimla packages.According to one legend, during Daksha Yagna, the Ear of Sati Devi fell here when Lord Vishnu cut the pieces of her body carried by heartbroken Lord Shiva. Other legend states that this area was under the rule of Demon called Banasura, the great grandson of king Prahlad an ardent devotee of Lord Vishnu. Due to Usha-Anirudh affairs Lord Krishna fought here with him and in this battle Lord Siva stood against the former. The legend goes that head of the defeated king Banasura was buried in front of the entry gate now marked .....
",Heritage,,4.83,832,1,  Shimla B,Himachal Pradesh,0.69,0.76
TD-19,Durga Temple - Arki,"rom Shimla Railway Station, Chadwick Falls is one of the best waterfalls in Shimla region and also one of the top tourist places to visit in Shimla. This is one of the top attractions you must include in Shimla packages.The Chadwick Falls is located at an altitude of 1586 m above sea level and the water cascades down a deep gorge at a height of 86 m. This fall can be approached through Summer Hill. Approach road is available and vehicles can get close to the entry point of waterfall from where about 10 minutes walk through thick vegitation will lead to the waterfalls.Trekking to the falls from Summer Hill is also an exciting experience.The water in Chadwick falls is very cold, chilly and refreshing as it flows down with forceful rapidness from the Himalayas. The best time to visit the Chadwick Falls is after monsoons during .....
",Waterfall,,4.12,856,2, Shimla Rail,Himachal Pradesh,0.94,0.76
TD-20,Fagu Ski Resort,"from Shimla, Chail is a Hill Station located at an altitude of 2250 m above sea level in Solan district of Himachal Pradesh. This is one of the popular places to visit in Shimla and also one of the top Himachal places to visit. According to the History, Maharaja Bhupinder Singh of Patiala incurred the wrath of the Commander in Chief Lord Kitchener, who banned his entry into the British summer Capital of Shimla in 1891. This incensed the Maharaja and he vowed to build a new summer retreat for himself. So he rebuilt the place Chail as per his requirements.The picturesque hill station located amidst scented forests of pine and gigantic deodars. Chail is built on three hills, the palace is on Rajgarh Hill, the Residency Snow View once occupied by British resident is on Pandhewa Hill and on .....
",Hill Station,,4.99,1126,1, Shimla Ch,Himachal Pradesh,0.25,0.76
TD-21,Gaiety Heritage Cultural Complex,"m from Shimla and 1.5 km from Mashobra Bus Stand, Carigneno is situated at an altitude of 7700 ft (2149 m) above the sea level. This beautiful place is well known for its beautiful Italian Villa which was built by Chevalier Peliti. He named this site after the Craignano Town in Italy. The villa is situated on a huge hillock and is surrounded by many small streams. The villa is built of wood and is surrounded by a dense forest of oak and pine trees. It has spacious lawns, night lamps and stone benches that represent the architectural style of the colonial period. From the lawns one can see the beautiful valley below and the mountains beyond. Carigneno is a lovely picnic place surrounding with many type of flowers, the fruit research station is also nearby has apple orchids and many types of beautiful flowers. The site is also known for the world's highest water lift situated at a height of around 7657 ft. The water lift was constructed by the .....
",Heritage,1,4.12,1144,2,m  Shimla a,Himachal Pradesh,0.97,0.76
TD-22,Gorton Castle,"m from Shimla and 1.5 km from Mashobra Bus Stand, Carigneno is situated at an altitude of 7700 ft (2149 m) above the sea level. This beautiful place is well known for its beautiful Italian Villa which was built by Chevalier Peliti. He named this site after the Craignano Town in Italy. The villa is situated on a huge hillock and is surrounded by many small streams. The villa is built of wood and is surrounded by a dense forest of oak and pine trees. It has spacious lawns, night lamps and stone benches that represent the architectural style of the colonial period. From the lawns one can see the beautiful valley below and the mountains beyond. Carigneno is a lovely picnic place surrounding with many type of flowers, the fruit research station is also nearby has apple orchids and many types of beautiful flowers. The site is also known for the world's highest water lift situated at a height of around 7657 ft. The water lift was constructed by the .....
",Heritage,1,4.78,1293,2,m  Shimla a,Himachal Pradesh,0.97,0.76
TD-23,Grave Of Barog,"rom Shimla Railway Station, 3 km from Shimla Old Bus Stand, Chapslee Palace is situated at an altitude of 7100 ft above sea level, between Lakkar Bazaar and Longwood next to Auckland School, Elysium Hill, Shimla. Chapslee, formerly the summer residence of the late Honorable Raja Charanjit Singh of Kapurthala, is now a heritage Hotel. Chapslee Palace in Shimla was originally built in 1835 and acquired by Lord Auckland then Governor General of the East India Company. Raja Charanjit Singh of Kapurthala purchased the estate after the demise of Sir Arthur Ker. He converted it to his summer residence and refurnished the interiors. Raja Charanjit Singh died in 1970. Kanwar Ratanjit Singh, the grandson of the Late Raja Charanjit Singh of Kapurthala is the present owner. He started a school known as Chapslee School on the premises in 1973 and converted the estate to a hotel in 1976. Chapslee was one of the first heritage hotels in India.The hotel was opened .....
",Heritage,3,4.89,1090,1, Shimla Rail,Himachal Pradesh,-0.03,0.76
TD-24,Green Valley,"from Shimla, Durga Mata Mandir is located at Arki. The temple of Durga is located on the main market of Arki and is dedicated to Goddess Durga. This Durga Temple is one of the highly revered sites in Shimla. The temple is situated parallel to the Lutru Mahadev Temple between Batal Ghati and Arki on the Kunihar-Solan Road.This Temple is flocked by thousands of Hindu devotees all through the year. The blessings and happiness you will receive after paying homage to Goddess Durga. Nature enthusiasts will surely fall in love with the location of this shrine, surrounded by lofty mountains and awe-inspiring landscapes. The temple was constructed in Shikhara Style of architecture, the interior and exterior both represent the greatness of the shrine. It is believed that by visiting this temple once, the goddess will eliminate all your sufferings and release you from all kinds of fear, filling your life with happiness and prosperity.Navaratri .....
",Pilgrimage,,4.44,1335,1, Shimla Du,Himachal Pradesh,0.98,0.76
TD-25,Gurkha Gate,"from Shimla and 6 km from Kufri, Fagu is the ski resort situated in Himachal state. It is well known for its swaying green fields with the snow covered Himalayas at its backdrop. Fagu surprises vacationers with its splendor, charm and serenity. It is one of the secluded snowy retreats in Himachal state. It is one of the best ski resorts in Shimla and also among the prime place to visit on a Shimla trip.Fagu is a famous site adventure sports in Himachal state. It is situated on the Hindustan Tibet Road at a height of about 2500 m above sea level. In Fagu, you can be surrounded with clouds all over. It is a small village with only few small typical shops selling essential, nothing else. But the place is dotted with Apple gardens, terraced fields and potato fields etc. The town is entirely surrounded by greenery and is rich in flora and fauna. Fagu is a perfect .....
",Adventure,6,4.6,1063,2, Shimla and,Himachal Pradesh,0.97,0.76
TD-26,Habban Valley," from Shimla Railway Station and 1 km from Shimla Old Bus Stand, Gaiety Heritage Cultural Complex is situated on Mall road, Shimla. The Gaiety Heritage Cultural Complex is a heritage building and was a centre for all the theatrical, cultural and literary events of the British. The complex is a Government building currently and renovated recently to conserve the building and protect its beauty.Gaiety Heritage Cultural Complex is a significant tourist hot spot opened on 30th of May in 1887. The Complex is a Gothic Victorian style theatre designed by renowned architect Henry Irwin which also happens to be the oldest cultural complexes in the state of Himachal Pradesh.Initially, it was a five-story building with a theatre, ballroom, armoury, police office, bar and galleries. After nearly two decades from its date of establishment, it was found that the building was structurally unsafe. It was partially demolished but the Gaiety theatre remained untouched.The .....
",Heritage,1,4.26,1118,2,  Shimla Ra,Himachal Pradesh,0.56,0.76
TD-27,Hatkoti Temples," from Shimla Railway Station and 1 km from Shimla Old Bus Stand, Gaiety Heritage Cultural Complex is situated on Mall road, Shimla. The Gaiety Heritage Cultural Complex is a heritage building and was a centre for all the theatrical, cultural and literary events of the British. The complex is a Government building currently and renovated recently to conserve the building and protect its beauty.Gaiety Heritage Cultural Complex is a significant tourist hot spot opened on 30th of May in 1887. The Complex is a Gothic Victorian style theatre designed by renowned architect Henry Irwin which also happens to be the oldest cultural complexes in the state of Himachal Pradesh.Initially, it was a five-story building with a theatre, ballroom, armoury, police office, bar and galleries. After nearly two decades from its date of establishment, it was found that the building was structurally unsafe. It was partially demolished but the Gaiety theatre remained untouched.The .....
",Heritage,1,4.16,784,1,  Shimla Ra,Himachal Pradesh,0.56,0.76
TD-28,Hatu Peak,"rom Shimla Railway Station and 1.5 km from Shimla Old Bus Stand, Gorton Castle is one of the most striking buildings of the British Empire in Shimla.Gorton Castle is a three storey Heritage Building in Shimla built in 1904. This was designed and constructed in a Gothic style; the foundation of the building was laid by Sir Swinton Jacob, a renowned British architect. Sir Swinton Jacob was working as a consulting engineer in Jaipur. He earned fame for his masterpiece architectures and also produced some fine work ''in the Indo-Sarcanic style, which combined Hindu, Muslim and Western traditions'', including the Lalghar Palace in Bikaner and the Albert Hall in Jaipur. He was also responsible for the original red sandstone buildings of St Stephen's College at Kashmir Gate in Delhi.Gorton Castle is positioned on the hilltop, spread across an area of 400 ft x 100 ft. The three storey building comprises 125 small and big rooms. Gorton Castle is encircled by .....
",Heritage,1,4.9,1202,2, Shimla Rail,Himachal Pradesh,0.91,0.76
TD-29,Himachal State Museum,"from Shimla, Grave of Barog is located in Barog Village of Solan District, Himachal Pradesh. Dating back to 20th century, the foundation of narrow gauge Kalka-Shimla Railway was laid by Colonel Barog as per the orders of government. He commenced digging the tunnel from both sides of the mountain, which is quite common as it speeds up construction. While constructing the tunnel, some errors in the calculation occurred, due to which two ends of tunnel did not meet. As a punishment, he was fined by the British Government. He was feeling so disgraced by the entire incident that he committed suicide. His body was buried at a place close to the incomplete tunnel and thus this area was named after him. It is believed that according to the design laid out by Barog, this tunnel would have been the world's longest of its kind, if successfully constructed. People from places near and far come here to witness the grave and its scenic surroundings. The Grave of .....
",Heritage,,4.91,1204,1, Shimla Gr,Himachal Pradesh,-0.77,0.76
TD-30,Himalayan Aviary / Himalayan Bird Park,"rom Shimla Railway Station, 8 km from Shimla Old Bus Stand and 7.5 km from Kufri, Green Valley lies on National Highway 22, on the way to Kufri from Shimla.It is surrounded by verdant hills that are covered with dense forests of pine and deodar. Enjoy a breath-taking view here as you look around at a huge expanse of green forests. You will also find some local shacks and markets here. Sometimes rare animals like Yaks can be seen wandering and grazing here. It is a popular point where people come to witness and enjoy the picturesque lush green environs.Green Valley is one of the most beautiful places in Shimla. It is noted for its elite beauty. The place is ideal for photographing as it offers some of the most mesmerizing sights that nature has to offer. Verdant hills with lush green forests and the backdrop of distant snow-capped Himalayas demand a snapshot.
",Nature,8,4.42,1089,1, Shimla Rail,Himachal Pradesh,0.97,0.76
TD-31,Image Art Gallery," from Shimla Railway Station and 2.5 km from Shimla Old Bus Stand, The Gurkha Gate is one of the oldest Gateways of Shimla. It is the main gateway to the historical Vice Regal Lodge. The Lodge has a historic significance. It served as the residence to the Viceroy of India during the British rule and now houses the Indian Institute of Advanced Study.The Gurkha Gate is situated on Chaura Maidan Road in Shimla. The gate was built as a tribute to the Gurkhas in honour of their bravery and loyalty to the British Empire. Lady Curzon, the then Vicereine was so impressed by their heroism that she admired the sacrifice of the Gurkha soldiers as a contribution to the country. It was she who conceived the idea of building a gate in their name and got it implemented. The building of the stone structure offers an interesting view to the visitors. The gateway building had timber-framed Dhajji houses that were built for soldiers. The carvings on this imposing gate .....
",Heritage,2,4.15,867,1,  Shimla Ra,Himachal Pradesh,0.98,0.76
TD-32,Jubbal," from Shimla Railway Station and 2.5 km from Shimla Old Bus Stand, The Gurkha Gate is one of the oldest Gateways of Shimla. It is the main gateway to the historical Vice Regal Lodge. The Lodge has a historic significance. It served as the residence to the Viceroy of India during the British rule and now houses the Indian Institute of Advanced Study.The Gurkha Gate is situated on Chaura Maidan Road in Shimla. The gate was built as a tribute to the Gurkhas in honour of their bravery and loyalty to the British Empire. Lady Curzon, the then Vicereine was so impressed by their heroism that she admired the sacrifice of the Gurkha soldiers as a contribution to the country. It was she who conceived the idea of building a gate in their name and got it implemented. The building of the stone structure offers an interesting view to the visitors. The gateway building had timber-framed Dhajji houses that were built for soldiers. The carvings on this imposing gate .....
",Heritage,2,4.22,1175,2,  Shimla Ra,Himachal Pradesh,0.98,0.76
TD-33,Jubbal Palace," from Shimla and 51 kms from Solan, Habban Valley is situated at an altitude of 6770 ft above sea level.The Habban Valley is surrounded by forests of deodar and is located in the hills of Sirmaur; a lush green village besides one can also find huge orchards of apples and peaches surrounding the valley. The wildlife consists of peacocks, deer, tiger, kastura and ghol. Though the climate is friendly and pleasant all round the year, it occasionally snows in Habban Valley. There are also various trails within Habban Valley which include a 7 km trek to Banalidhar or take a longer trek (15 km) to Churdhar.Walking in the dense deodar forest of Habban is thrilling and rejuvenates mind and body. The silence that prevails around is just perfect to enjoy the beauty of the valley. There is also one temple of the most revered Shrigul Devta. It is located at Shiya village around 10 km from Habban. The temple has an interesting traditional structure built mainly of .....
",Adventure,51,4.6,1237,1,  Shimla an,Himachal Pradesh,0.98,0.76
TD-34,Scandal Point,"from Shimla & 84 km from Kufri, Hatkoti Temples are located in Hatkoti village of Jubbal. The Hatkoti temples are a group of temples located on the scenic banks of River Jabbar. Hatkoti is one of the popular pilgrimage places in Himachal Pradesh.The Hatkoti Temple is an abode of goddess Mahishasurmardini, an incarnation of Goddess Durga. The statue of the goddess is 1.2 m in height and made of eight precious metals. The idol depicts the goddess with ten arms, riding a lion, carrying weapons and slaying the demon Mahishasura. There is an inscription on both sides of the idol that no one has been able to decode so far. The complex also has a separate temple dedicated to Lord Shiva. The temples also boast of five idols, which ideally represent the five Pandava brothers of the Mahabharata period. These idols are arranged in accordance to their size with the first one being the largest.According to the .....
",Heritage,84,4.09,757,2, Shimla &,Himachal Pradesh,0.8,0.76
TD-35,Shoolini Temple - Solan,"from Shimla, 54 km from Kufri and 7 km from Narkanda, Hatu peak is located at an altitude of 3400 m above sea level and one of the highest peaks in Shimla Region. This place is also famous for skiing activities in the winter. Hatu Peak is surrounded by Himalayan Ranges and it is one of the most fascinating attractions of Narkanda town. For the rulers of the erstwhile hill states, Hatu Peak was of great strategic importance because of its commanding position. It was accepted as a boundary between the states. The Gorkhas captured it early in the 19th century and established a fort at the top of Hatu Peak. Later, the British dismissed them from the Hatu heights.The Hatu Peak is blessed with Hatu Mata's temple, where you can see one of the best wooden carvings in the new temple being constructed. The Peak has a beautiful hillock on top of it from where you can look around in all four directions and observe .....
",Adventure,54,4.64,1112,1, Shimla 54,Himachal Pradesh,0.98,0.76
TD-36,Summer Hill,"rom Shimla Railway Station and 2 km from Shimla Old Bus Stand, Shimla State Museum is situated at the top of Mount Pleasant. Also known as Himachal State Museum and Library, it was built in the year 1974. The Himachal State Museum is a colonial building that was built with the aim of preserving the state's rich cultural and archaeological artifacts. The colonial style building amidst marvelous lawns in itself is an inspiring sight. It is one of popular Shimla tourist places. It gives you an in depth view of the city's glorious past.Himachal State Museum has a rich display of the cultural, artistic and archaeological heritage of Himachal Pradesh. The various galleries in the museum are Pre-Historic Gallery, Wood-Carving Gallery Archaeology Gallery, Wall Painting Gallery, Coin Gallery, Pahari Painting Gallery, etc.The lifestyle and culture of the people of the Himalayas are reflected in the paintings. Rajasthani and Mughal paintings are awe-inspiring. .....
",Museum,2,3.92,1286,2, Shimla Rail,Himachal Pradesh,0.98,0.76
